Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2016-05-20,57.6399,58.6026,57.0516,57.0516,828170.66459413
2016-05-23,57.0983,57.9515,56.4366,57.5292,431613.15612992
2016-05-24,57.2718,58.4463,57.0887,58.0612,989574.95984273
2016-05-25,58.7314,60.0709,58.3272,59.291,1440522.6886492
2016-05-27,60.2092,60.3006,57.492,57.492,895003.06478168
2016-05-30,57.8219,57.9144,55.6291,56.5834,700005.30351503
2016-05-31,57.1345,57.2365,55.3536,55.3536,1540405.2190632
2016-06-01,54.9408,54.9685,52.9215,52.9215,1183979.0375997
2016-06-02,53.2334,53.5728,52.3342,52.5822,1205823.6538076
2016-06-03,53.4344,55.8037,53.3249,54.9685,1600202.5745515
2016-06-06,56.0973,57.0887,55.4537,56.1706,780979.11903512
2016-06-07,55.7121,56.8132,54.9218,55.7121,899336.1152741
2016-06-08,55.8037,57.1068,54.9218,57.1068,1033216.9912729
2016-06-09,57.8219,58.2356,55.4184,55.6835,1254629.4730795
2016-06-10,55.6835,55.8951,54.344,54.9313,642964.48559489
2016-06-13,55.0227,55.1333,53.9226,54.8855,736639.56192658
2016-06-14,54.61,55.0323,53.6013,54.7015,771954.29055854
2016-06-15,55.161,56.0325,54.876,55.5739,1388834.4625138
2016-06-16,54.978,55.2163,53.9589,54.3344,1363198.0337834
2016-06-17,54.7939,55.7121,54.6195,55.7121,1652739.3695197
2016-06-20,56.1888,57.208,56.1888,57.1803,870263.45478068
2016-06-21,57.1249,57.5015,56.3079,56.9048,716642.07762788
2016-06-22,57.6856,58.3643,57.5483,57.6856,1237052.8748947
2016-06-23,57.6761,59.8144,57.2718,59.2995,1329973.7843651
2016-06-24,52.3162,56.8132,51.1874,56.7122,1971857.8918415
2016-06-27,56.9505,57.7399,55.9323,55.9867,646610.49951686
2016-06-28,57.3633,58.9154,56.9048,58.6856,1583038.1983089
2016-06-29,59.0165,60.5762,58.658,60.5762,930725.81971274
2016-06-30,60.5762,60.7593,58.9793,60.5762,951398.80256315
2016-07-01,61.0357,62.7518,60.8241,62.5039,1100373.504896
2016-07-04,61.7688,64.6518,61.6774,62.9167,1607976.0524501
2016-07-05,62.9167,63.7881,61.5028,61.5028,1053692.7788939
2016-07-06,61.356,62.2093,60.3006,60.989,2164783.0053781
2016-07-07,60.9441,63.1369,60.8974,62.2932,1509132.9926335
2016-07-08,62.4124,62.9634,62.1178,62.4219,1107861.6790585
2016-07-11,63.6508,65.6243,63.605,65.6243,1689194.2641853
2016-07-12,66.0828,67.001,64.1276,64.4764,1688146.4023016
2016-07-13,66.0095,67.1658,65.3945,67.102,1922532.8617263
2016-07-14,67.9362,69.3224,67.3832,69.3224,2275980.1365333
2016-07-15,68.9668,71.6562,68.657,71.1118,2127244.5858616
2016-07-18,70.1852,72.0214,69.6228,71.6085,1463069.0261787
2016-07-19,71.9088,71.9088,70.7477,70.9345,941463.51951687
2016-07-20,71.1967,71.1967,69.5379,70.578,1429612.9674747
2016-07-21,70.7562,71.9556,70.5875,71.9175,1105877.1398351
2016-07-22,71.3188,72.602,71.0279,72.152,1208538.234944
2016-07-25,72.2093,73.0148,71.9175,72.0586,1294551.0179212
2016-07-26,72.0586,72.3217,71.131,71.9556,902966.39553414
2016-07-27,71.6839,74.6545,71.5905,73.9891,973190.97323137
2016-07-28,74.1302,75.5727,74.1302,74.7385,1320698.2662086
2016-07-29,74.6545,74.6545,73.0987,73.6049,1534757.8833452
2016-08-01,74.0635,74.9072,73.2674,73.8671,416418.63435961
2016-08-02,74.0273,74.8701,73.1836,73.2769,1354791.0137649
2016-08-03,73.0892,73.8203,72.274,72.9023,1190266.2089024
2016-08-04,72.4342,74.3075,72.4342,73.8862,906900.85992462
2016-08-05,73.8957,74.6164,73.8957,74.3457,546577.97485922
2016-08-08,74.401,75.1885,74.3638,75.1513,623614.17925646
2016-08-09,74.4943,74.5707,73.2016,73.5582,1689889.6920422
2016-08-10,73.5582,75.1323,73.38,74.9167,758894.30225521
2016-08-11,74.8701,75.0483,73.9052,74.7195,460199.12201465
2016-08-12,74.7195,74.7766,73.9329,74.2142,410817.45071655
2016-08-16,73.8481,75.1046,73.7641,74.5326,813859.32571286
2016-08-17,74.0368,74.7766,73.5582,73.5773,1210250.0573607
2016-08-18,72.9957,74.2142,70.4006,74.2046,1222003.102814
2016-08-19,73.9329,74.4201,72.4522,73.0148,865357.69899443
2016-08-22,71.8908,72.133,70.9813,71.3092,1292381.8703981
2016-08-23,71.2158,72.5181,71.2063,71.9365,761932.99682711
2016-08-24,71.2158,72.9957,71.1691,71.6839,717791.68385874
